ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1774197021,66,65,66,1468300,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,110003,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272501,870626
1774197022,66,65,66,1468300,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,110003,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272501,870626
1774197023,66,65,66,1468300,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,110003,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272501,870626
1774197024,66,65,66,1468300,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,110003,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272501,870626
1774197025,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,110003,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870626
1774197026,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,110003,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870626
1774197027,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,110003,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870626
1774197028,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,110003,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870626
1774197029,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,110003,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870626
1774197030,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,110003,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870626
1774197031,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,110003,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870626
1774197032,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,110003,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870626
1774197033,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,109989,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870612
1774197034,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,109992,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870615
1774197035,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,109992,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870615
1774197036,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,109992,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870615
1774197037,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,109992,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870615
1774197038,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,109992,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870615
1774197039,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,109992,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870615
1774197040,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,109992,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870615
1774197041,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,109992,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870615
1774197042,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,109992,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870615
1774197043,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,109992,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870615
1774197044,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,109992,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870615
1774197045,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,109992,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870615
1774197046,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,109992,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870615
1774197047,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,109992,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870615
1774197048,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,109992,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870615
1774197049,66,65,66,1468299,67,1609868,68,112738,69,10015,70,95,71,164,72,5000,73,53,74,0,75,61512,76,4756,65,109992,64,139142,63,419004,62,183053,61,5095,60,2908,59,5810,58,1000,57,1600,56,1400,55,1611,3272500,870615
