ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773520173,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520174,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520175,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,14014,14014,40,13,54,46,8
1773520176,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,14014,14014,40,13,54,46,8
1773520177,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,14014,14014,40,13,54,46,8
1773520178,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,14014,40,13,54,46,8
1773520179,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,14014,40,13,54,46,8
1773520180,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,14014,40,13,54,46,8
1773520181,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,14014,40,13,54,46,8
1773520182,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,14014,40,13,54,46,8
1773520183,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,14014,40,13,54,46,8
1773520184,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,14014,40,13,54,46,8
1773520185,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,46,8
1773520186,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,46,8
1773520187,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,46,8
1773520188,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,46,8
1773520189,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,46,8
1773520190,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,46,8
1773520191,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,46,8
1773520192,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,46,8
1773520193,46,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,46,8
1773520194,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520195,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520196,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520197,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520198,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520199,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520200,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520201,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520202,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520203,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520204,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520205,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520206,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520207,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520208,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520209,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520210,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520211,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520212,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520213,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520214,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520215,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520216,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520217,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520218,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520219,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520220,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
1773520221,45,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,14014,9510,-0.1915,0,0,40,13,54,45,9
ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773521000,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773521001,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10439,9729,-0.0352,10439,10439,27,17,73,58,15
1773521002,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10439,9729,-0.0352,10439,10439,27,17,73,58,15
1773521003,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10439,9729,-0.0352,10439,10439,27,17,73,58,15
1773521004,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10439,9729,-0.0352,0,10439,27,17,73,58,15
1773521005,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10439,9729,-0.0352,0,10439,27,17,73,58,15
1773521006,58,27,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,10526,8753,-0.092,87,10526,27,16,73,58,15
1773521007,58,27,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,10526,9753,-0.0381,87,10526,27,17,73,58,15
1773521008,58,27,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,10526,9753,-0.0381,87,10526,27,17,73,58,15
1773521009,58,27,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,10526,6758,-0.218,0,10526,27,16,73,58,15
1773521010,58,27,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,10526,9758,-0.0379,0,10526,27,18,73,58,15
1773521011,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10526,9758,-0.0379,0,87,27,18,73,58,15
1773521012,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10526,9758,-0.0379,0,87,27,18,73,58,15
1773521013,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10526,9758,-0.0379,0,87,27,18,73,58,15
1773521014,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10599,6758,-0.2213,73,160,27,16,73,58,15
1773521015,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10599,6758,-0.2213,73,160,27,16,73,58,15
1773521016,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10599,9758,-0.0413,73,73,27,18,73,58,15
1773521017,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10599,9758,-0.0413,0,73,27,18,73,58,15
1773521018,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10599,9758,-0.0413,0,73,27,18,73,58,15
1773521019,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10599,9758,-0.0413,0,73,27,18,73,58,15
1773521020,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10599,9758,-0.0413,0,73,27,18,73,58,15
1773521021,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10594,9756,-0.0412,-5,68,27,18,73,58,15
1773521022,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10594,9760,-0.041,-5,68,27,18,73,58,15
1773521023,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10594,9760,-0.041,-5,68,27,18,73,58,15
1773521024,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10594,9803,-0.0388,0,-5,27,17,73,58,15
1773521025,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10594,9810,-0.0384,0,-5,27,17,73,58,15
1773521026,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10594,9810,-0.0384,0,-5,27,17,73,58,15
1773521027,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10594,9757,-0.0411,0,-5,27,18,73,58,15
1773521028,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10594,9757,-0.0411,0,-5,27,18,73,58,15
1773521029,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10594,9762,-0.0409,0,-5,27,18,73,58,15
1773521030,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10594,9762,-0.0409,0,-5,27,18,73,58,15
1773521031,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10594,9762,-0.0409,0,0,27,18,73,58,15
1773521032,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10594,9762,-0.0409,0,0,27,18,73,58,15
1773521033,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10594,9762,-0.0409,0,0,27,18,73,58,15
1773521034,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10594,9762,-0.0409,0,0,27,18,73,58,15
1773521035,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10594,9762,-0.0409,0,0,27,18,73,58,15
1773521036,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10594,9762,-0.0409,0,0,27,18,73,58,15
1773521037,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10594,9762,-0.0409,0,0,27,18,73,58,15
1773521038,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,8652,-0.1016,15,15,27,18,73,58,15
1773521040,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,15,15,27,19,73,58,15
1773521041,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,15,27,19,73,58,15
1773521042,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,15,27,19,73,58,15
1773521043,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,15,27,19,73,58,15
1773521044,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,15,27,19,73,58,15
1773521045,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,15,27,19,73,58,15
1773521046,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,15,27,19,73,58,15
1773521047,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,15,27,19,73,58,15
1773521048,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521049,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521050,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521051,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521052,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521053,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521054,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521055,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521056,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521057,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521058,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521059,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521060,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521061,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521062,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521063,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521064,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521065,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521066,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521067,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521068,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521069,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521070,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521071,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521072,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521073,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521074,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9652,-0.0472,0,0,27,19,73,58,15
1773521075,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,8648,-0.1018,0,0,27,18,73,58,15
1773521076,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9648,-0.0474,0,0,27,19,73,58,15
1773521077,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9648,-0.0474,0,0,27,19,73,58,15
1773521078,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10609,9648,-0.0474,0,0,27,19,73,58,15
ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773521156,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773521157,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,10630,10630,27,20,73,58,15
1773521158,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,10630,10630,27,20,73,58,15
1773521159,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,10630,10630,27,20,73,58,15
1773521160,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,10630,27,20,73,58,15
1773521161,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,10630,27,20,73,58,15
1773521162,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,10630,27,20,73,58,15
1773521163,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,10630,27,20,73,58,15
1773521164,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,10630,27,20,73,58,15
1773521165,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,10630,27,20,73,58,15
1773521166,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,10630,27,20,73,58,15
1773521167,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,0,27,20,73,58,15
1773521168,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,0,27,20,73,58,15
1773521169,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,0,27,20,73,58,15
1773521170,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,0,27,20,73,58,15
1773521171,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,0,27,20,73,58,15
1773521172,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,0,27,20,73,58,15
1773521173,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,0,27,20,73,58,15
1773521174,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,0,27,20,73,58,15
1773521175,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,0,27,20,73,58,15
1773521176,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,0,27,20,73,58,15
1773521177,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,0,27,20,73,58,15
1773521178,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10630,9739,-0.0437,0,0,27,20,73,58,15
1773521179,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10629,9739,-0.0437,-1,-1,27,20,73,58,15
1773521180,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10629,9739,-0.0437,-1,-1,27,20,73,58,15
1773521181,58,27,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10629,9739,-0.0437,-1,-1,27,20,73,58,15
