ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1775343599,27,26,27,726,28,2964,29,3325,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1433,25,6779,24,9533,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,15810,18131
1775343600,27,26,27,726,28,2964,29,3325,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1433,25,6779,24,9533,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,15810,18131
1775343601,27,26,27,726,28,2964,29,3325,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1433,25,6779,24,9533,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,15810,18131
1775343602,27,26,27,726,28,2964,29,3325,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1433,25,6779,24,9533,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,15810,18131
1775343603,27,26,27,726,28,2964,29,3325,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1433,25,6779,24,9533,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,15810,18131
1775343604,27,26,27,726,28,2964,29,3325,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1433,25,6779,24,9533,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,15810,18131
1775343605,27,26,27,726,28,2964,29,3325,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1433,25,6779,24,9533,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,15810,18131
1775343606,27,26,27,726,28,2964,29,3325,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1433,25,6779,24,9533,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,15810,18131
1775343607,27,26,27,726,28,2964,29,3325,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1433,25,6779,24,9533,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,15810,18131
1775343608,27,26,27,726,28,2964,29,3325,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1433,25,6779,24,9533,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,15810,18131
1775343609,27,26,27,726,28,2964,29,3325,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1433,25,6779,24,9533,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,15810,18131
1775343610,27,26,27,726,28,2964,29,3325,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1433,25,6779,24,9533,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,15810,18131
1775343611,27,26,27,726,28,2964,29,3325,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1433,25,6779,24,9533,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,15810,18131
1775343612,27,26,27,726,28,2964,29,3325,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1433,25,6779,24,9533,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,15810,18131
1775343613,27,26,27,726,28,2964,29,3325,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1648,25,6779,24,9533,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,15810,18346
1775343614,27,26,27,726,28,2964,29,3325,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1648,25,6779,24,9533,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,15810,18346
1775343615,27,26,27,726,28,2964,29,3325,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1648,25,6779,24,9533,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,15810,18346
1775343616,27,26,27,726,28,2964,29,4029,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1648,25,4779,24,11616,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,16514,18429
1775343617,27,26,27,726,28,2964,29,4029,30,2875,31,5000,32,60,33,360,34,200,35,0,36,300,37,0,26,1648,25,4779,24,11616,23,320,22,20,21,20,20,26,19,0,18,0,17,0,16,0,16514,18429
