ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773520173,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520174,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520175,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1892142,819405,-0.3956,1892142,1892142,88,10,11,10,1
1773520176,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1892153,819681,-0.3955,1892153,1892153,88,10,11,10,1
1773520177,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1903508,819681,-0.398,1903508,1903508,88,10,11,10,1
1773520178,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1900780,820032,-0.3972,8638,1900780,88,10,11,10,1
1773520179,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1900930,819906,-0.3973,8777,1900930,88,10,11,10,1
1773520180,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1900845,818970,-0.3978,-2663,1900845,88,10,11,10,1
1773520181,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1913641,819245,-0.4005,12861,1913641,88,10,11,10,1
1773520182,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1913610,819245,-0.4004,12680,1913610,88,10,11,10,1
1773520183,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1784792,766873,-0.3989,-116053,1784792,88,10,11,10,1
1773520184,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1903847,819432,-0.3982,-9794,1903847,88,10,11,10,1
1773520185,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1905276,819432,-0.3985,-8334,13134,88,10,11,10,1
1773520186,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1902491,819828,-0.3977,117699,10338,88,10,11,10,1
1773520187,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1902491,819828,-0.3977,-1356,-1017,88,10,11,10,1
1773520188,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1918541,819578,-0.4014,13265,17761,88,10,11,10,1
1773520189,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1935444,817104,-0.4063,32953,34514,88,10,11,10,1
1773520190,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1935444,817094,-0.4063,32953,34599,88,10,11,10,1
1773520191,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1918562,817660,-0.4023,21,4921,88,10,11,10,1
1773520192,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1901499,815679,-0.3996,-33945,-12111,88,10,11,10,1
1773520193,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1897156,815679,-0.3987,-38288,112364,88,10,11,10,1
1773520194,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1898129,815664,-0.3989,-20433,-5718,88,10,11,10,1
1773520195,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1911609,815664,-0.4018,10110,6333,88,10,11,10,1
1773520196,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1911526,815664,-0.4018,14370,9035,88,10,11,10,1
1773520197,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1911526,815664,-0.4018,13397,9035,88,10,11,10,1
1773520198,10,89,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1911365,815743,-0.4018,-244,-7176,88,10,11,10,1
1773520199,10,89,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1911702,820267,-0.3995,176,-23742,88,10,11,10,1
1773520200,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1909829,820267,-0.3991,-1697,-25615,88,10,11,10,1
1773520201,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1909829,820267,-0.3991,-1536,-8733,88,10,11,10,1
1773520202,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1911597,820267,-0.3995,-105,10098,88,10,11,10,1
1773520203,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1909729,820267,-0.3991,-100,12573,88,10,11,10,1
1773520204,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1909736,820267,-0.3991,-93,11607,88,10,11,10,1
1773520205,10,89,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1909736,820267,-0.3991,-1861,-1873,88,10,11,10,1
1773520206,10,89,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1909736,820267,-0.3991,7,-1790,88,10,11,10,1
1773520207,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1909736,820253,-0.3991,0,-1790,88,10,11,10,1
1773520208,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1926611,820268,-0.4028,16875,15246,88,10,11,10,1
1773520209,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1942924,817768,-0.4076,33188,31222,88,10,11,10,1
1773520210,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1944556,817525,-0.408,34820,34727,88,10,11,10,1
1773520211,10,89,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1910946,817358,-0.4008,-15665,1117,88,10,11,10,1
1773520212,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1910919,817487,-0.4008,-32005,-678,88,10,11,10,1
1773520213,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1908278,812487,-0.4028,-36278,-1451,88,10,11,10,1
1773520214,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1895275,817808,-0.3971,-15671,-14461,88,10,11,10,1
1773520215,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1895559,818058,-0.3971,-15360,-14177,88,10,11,10,1
1773520216,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1903206,818058,-0.3988,-5072,-6530,88,10,11,10,1
1773520217,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1903041,818058,-0.3987,7766,-6695,88,10,11,10,1
1773520218,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1907495,818058,-0.3997,11936,-19116,88,10,11,10,1
1773520219,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1907495,820558,-0.3984,4289,-35429,88,10,11,10,1
1773520220,9,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1902997,820553,-0.3974,-44,-41559,88,9,11,9,2
1773520221,9,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1896056,820553,-0.3959,-11439,-14890,88,9,11,9,2
ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773521000,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773521001,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773521002,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1960667,651173,-0.5014,1960667,1960667,90,4,5,4,1
1773521003,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1960667,651173,-0.5014,1960667,1960667,90,4,5,4,1
1773521004,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960660,651173,-0.5014,1960660,1960660,90,4,5,4,1
1773521005,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960660,651173,-0.5014,-7,1960660,90,4,5,4,1
1773521006,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960660,651173,-0.5014,-7,1960660,90,4,5,4,1
1773521007,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960635,651173,-0.5014,-25,1960635,90,4,5,4,1
1773521008,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960435,651173,-0.5013,-225,1960435,90,4,5,4,1
1773521009,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960435,651173,-0.5013,-225,1960435,90,4,5,4,1
1773521010,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960435,650983,-0.5014,-200,1960435,90,4,5,4,1
1773521011,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960435,650983,-0.5014,0,1960435,90,4,5,4,1
1773521012,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960435,650980,-0.5014,0,-232,90,4,5,4,1
1773521013,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960392,651039,-0.5014,-43,-275,90,4,5,4,1
1773521014,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960364,651039,-0.5014,-71,-296,90,4,5,4,1
1773521015,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960322,651039,-0.5014,-113,-338,91,4,5,4,1
1773521016,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960322,651039,-0.5014,-70,-338,91,4,5,4,1
1773521017,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960222,651039,-0.5014,-142,-413,91,4,5,4,1
1773521018,4,95,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960222,651039,-0.5014,-100,-213,91,4,5,4,1
1773521019,4,95,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960222,651039,-0.5014,-100,-213,91,4,5,4,1
1773521020,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960222,650839,-0.5015,0,-213,91,4,5,4,1
1773521021,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960222,650839,-0.5015,0,-213,91,4,5,4,1
1773521022,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960187,650839,-0.5015,-35,-248,91,4,5,4,1
1773521023,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960150,650839,-0.5015,-72,-242,91,4,5,4,1
1773521024,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960150,650783,-0.5015,-72,-214,91,4,5,4,1
1773521025,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1959950,650696,-0.5015,-237,-372,91,4,5,4,1
1773521026,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1959929,650696,-0.5015,-221,-393,91,4,5,4,1
1773521027,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1959929,650696,-0.5015,-221,-293,91,4,5,4,1
1773521028,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1959929,650668,-0.5015,-21,-293,91,4,5,4,1
1773521029,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1959929,650668,-0.5015,0,-293,91,4,5,4,1
1773521030,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1959929,650668,-0.5015,0,-293,91,4,5,4,1
1773521031,4,95,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1959929,650668,-0.5015,0,-293,91,4,5,4,1
1773521032,4,95,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1959929,650668,-0.5015,0,-258,91,4,5,4,1
1773521033,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1960129,650768,-0.5015,200,-21,91,4,5,4,1
1773521034,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960124,650768,-0.5015,195,-26,91,4,5,4,1
1773521035,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960121,646268,-0.5041,192,171,91,4,5,4,1
1773521036,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960121,646268,-0.5041,-8,192,91,4,5,4,1
1773521037,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960121,646268,-0.5041,-3,192,91,4,5,4,1
1773521038,4,95,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960121,646268,-0.5041,0,192,91,4,5,4,1
1773521039,4,95,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960121,646268,-0.5041,0,192,91,4,5,4,1
1773521040,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1960121,646268,-0.5041,0,192,91,4,5,4,1
1773521041,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1960121,646268,-0.5041,0,192,91,4,5,4,1
1773521042,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960121,646225,-0.5041,0,192,91,4,5,4,1
1773521043,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1960128,646225,-0.5041,7,-1,91,4,5,4,1
1773521044,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1959672,646225,-0.504,-449,-452,91,4,5,4,1
1773521045,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1958810,646225,-0.5039,-1311,-1311,91,4,5,4,1
1773521046,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1958815,646225,-0.5039,-1313,-1306,91,4,5,4,1
1773521047,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1958815,646222,-0.5039,-857,-1306,91,4,5,4,1
1773521048,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1958815,646222,-0.5039,5,-1306,91,4,5,4,1
1773521049,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1958815,646222,-0.5039,0,-1306,91,4,5,4,1
1773521050,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1958708,646222,-0.5038,-107,-1413,91,4,5,4,1
1773521051,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1958708,646222,-0.5038,-107,-1413,91,4,5,4,1
1773521052,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1958708,646222,-0.5038,-107,-1413,91,4,5,4,1
1773521053,4,95,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1958708,646222,-0.5038,0,-1420,91,4,5,4,1
1773521054,4,95,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1958708,646222,-0.5038,0,-964,91,4,5,4,1
1773521055,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1958708,646222,-0.5038,0,-102,91,4,5,4,1
1773521056,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1963757,643872,-0.5062,5049,4942,91,4,5,4,1
1773521057,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1945246,643872,-0.5026,-13462,-13569,91,4,5,4,1
1773521058,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1945246,643872,-0.5026,-13462,-13569,91,4,5,4,1
1773521059,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1939996,641029,-0.5033,-23761,-18819,91,4,5,4,1
1773521060,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1940196,641129,-0.5033,-5050,-18512,91,4,5,4,1
1773521061,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1940196,641129,-0.5033,-5050,-18512,91,4,5,4,1
1773521062,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1940009,641129,-0.5032,13,-18699,91,4,5,4,1
1773521063,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1940005,641129,-0.5032,-191,-18703,91,4,5,4,1
1773521064,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1940005,641129,-0.5032,-191,-18703,91,4,5,4,1
1773521065,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1939986,641129,-0.5032,-23,-18722,91,4,5,4,1
1773521066,4,95,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1939986,641129,-0.5032,-19,-23771,91,4,5,4,1
1773521067,4,95,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1939986,641129,-0.5032,-19,-5260,91,4,5,4,1
1773521068,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1940171,641079,-0.5033,185,-5075,91,4,5,4,1
1773521069,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1940116,641079,-0.5033,130,120,91,4,5,4,1
1773521070,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1940116,641094,-0.5033,130,-80,91,4,5,4,1
1773521071,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1940116,641094,-0.5033,-55,-80,91,4,5,4,1
1773521072,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1940116,640942,-0.5033,0,107,91,4,5,4,1
1773521073,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1940116,640942,-0.5033,0,111,91,4,5,4,1
1773521074,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1940230,641007,-0.5033,114,225,91,4,5,4,1
1773521075,4,95,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1940230,640942,-0.5034,114,244,91,4,5,4,1
1773521076,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1939762,640942,-0.5033,-354,-224,91,4,5,4,1
1773521077,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1939575,641017,-0.5032,-655,-411,91,4,5,4,1
1773521078,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1939482,640992,-0.5032,-748,-689,91,4,5,4,1
ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773521156,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773521157,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1896884,641103,-0.4948,1896884,1896884,91,4,5,4,1
1773521158,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1896850,642114,-0.4942,1896850,1896850,91,4,5,4,1
1773521159,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1896739,642114,-0.4942,1896739,1896739,91,4,5,4,1
1773521160,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1896739,642114,-0.4942,-145,1896739,91,4,5,4,1
1773521161,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1920450,635495,-0.5027,23600,1920450,92,3,4,3,1
1773521162,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1936935,635245,-0.5061,40196,1936935,92,3,4,3,1
1773521163,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1936935,635245,-0.5061,40196,1936935,92,3,4,3,1
1773521164,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1902723,630215,-0.5024,-17727,1902723,92,3,4,3,1
1773521165,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1902667,626960,-0.5043,-34268,1902667,92,3,4,3,1
1773521166,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1902667,628032,-0.5037,-34268,1902667,92,3,4,3,1
1773521167,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1902643,628032,-0.5037,-80,5759,92,3,4,3,1
1773521168,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1902643,628032,-0.5037,-24,5793,92,3,4,3,1
1773521169,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1905122,628032,-0.5042,2455,8383,92,3,4,3,1
1773521170,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1905464,628032,-0.5042,2821,8725,92,3,4,3,1
1773521171,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1905464,630522,-0.5027,2821,-14986,92,3,4,3,1
1773521172,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1905903,630507,-0.5028,781,-31032,92,3,4,3,1
1773521173,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1905903,630471,-0.5029,439,-31032,92,3,4,3,1
1773521174,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1905968,630471,-0.5029,504,3245,92,3,4,3,1
1773521175,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1905968,630471,-0.5029,65,3301,92,3,4,3,1
