ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1773534599,20,19,20,3009,21,165,22,614,23,3974,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21741,4608
1773534600,20,19,20,3009,21,165,22,614,23,3974,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21741,4608
1773534601,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534602,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534603,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534604,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534605,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534606,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534607,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534608,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534609,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534610,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534611,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534612,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534613,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534614,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534615,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534616,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534617,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534618,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534619,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4608
1773534620,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3716,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4668
1773534621,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3716,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4668
1773534622,20,19,20,3009,21,165,22,614,23,3925,24,13569,25,0,26,500,27,200,28,0,29,4,30,0,19,3716,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21986,4668
1773534623,20,19,20,3009,21,165,22,614,23,3925,24,13569,25,0,26,500,27,200,28,0,29,4,30,0,19,3716,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21986,4668
1773534624,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3716,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4668
1773534625,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3716,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4668
1773534626,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3716,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4668
1773534627,20,19,20,3009,21,165,22,614,23,3925,24,13275,25,0,26,500,27,200,28,0,29,4,30,0,19,3716,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,21692,4668
1773534628,20,19,20,3009,21,165,22,614,23,3321,24,12894,25,0,26,500,27,200,28,0,29,4,30,0,19,3716,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,20707,4668
1773534629,20,19,20,3009,21,135,22,644,23,2546,24,6054,25,0,26,500,27,200,28,0,29,4,30,0,19,3716,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,13092,4668
1773534630,20,19,20,2199,21,135,22,614,23,854,24,6605,25,0,26,500,27,200,28,0,29,4,30,0,19,3716,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,11111,4668
1773534631,20,19,20,2199,21,135,22,614,23,1160,24,6605,25,0,26,500,27,200,28,0,29,4,30,0,19,3716,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,11417,4668
1773534632,20,19,20,2199,21,135,22,614,23,1160,24,6054,25,0,26,500,27,200,28,0,29,4,30,0,19,3716,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,10866,4668
1773534633,20,19,20,2199,21,135,22,614,23,1160,24,6054,25,0,26,500,27,200,28,0,29,4,30,0,19,3716,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,10866,4668
1773534634,20,19,20,2199,21,135,22,614,23,1160,24,6054,25,0,26,500,27,200,28,0,29,4,30,0,19,3716,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,10866,4668
1773534635,20,19,20,841,21,135,22,614,23,1160,24,6054,25,0,26,500,27,200,28,0,29,4,30,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,116,9508,4608
1773534636,21,19,21,135,22,932,23,1160,24,6054,25,0,26,0,27,200,28,500,29,4,30,0,31,0,19,3656,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9,0,8985,4492
1773534637,21,20,21,225,22,932,23,1160,24,6054,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,750,19,3486,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9075,5072
1773534638,21,20,21,225,22,932,23,1160,24,6605,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9626,5072
1773534639,21,20,21,225,22,932,23,1160,24,6054,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9075,5072
1773534640,21,20,21,225,22,932,23,1160,24,5755,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,8776,5072
1773534641,21,20,21,225,22,932,23,1160,24,5755,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,8776,5072
1773534642,21,20,21,225,22,932,23,1160,24,5755,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,8776,5072
1773534643,21,20,21,225,22,932,23,1160,24,6264,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9285,5072
1773534644,21,20,21,225,22,932,23,1160,24,6264,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9285,5072
1773534645,21,20,21,225,22,932,23,1160,24,6264,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9285,5072
1773534646,21,20,21,225,22,932,23,1160,24,6264,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9285,5072
1773534647,21,20,21,225,22,932,23,1160,24,6264,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9285,5072
1773534648,21,20,21,225,22,932,23,1160,24,6264,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9285,5072
1773534649,21,20,21,225,22,932,23,1160,24,6264,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9285,5072
1773534650,21,20,21,225,22,932,23,1160,24,6264,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9285,5072
1773534651,21,20,21,225,22,932,23,1160,24,6264,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9285,5072
1773534652,21,20,21,225,22,932,23,1160,24,6264,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9285,5072
1773534653,21,20,21,225,22,932,23,1160,24,6612,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9633,5072
1773534654,21,20,21,225,22,932,23,1160,24,6103,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9124,5072
1773534655,21,20,21,225,22,932,23,1160,24,6103,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9124,5072
1773534656,21,20,21,225,22,932,23,1160,24,6876,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9897,5072
1773534657,21,20,21,225,22,932,23,1160,24,6876,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9897,5072
1773534658,21,20,21,225,22,932,23,1160,24,6876,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9897,5072
1773534659,21,20,21,225,22,932,23,1160,24,6876,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9897,5072
1773534660,21,20,21,225,22,932,23,1160,24,6771,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9792,5072
1773534661,21,20,21,225,22,932,23,1160,24,6771,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9792,5072
1773534662,21,20,21,225,22,932,23,1160,24,6771,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9792,5072
1773534663,21,20,21,225,22,932,23,1160,24,6477,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9498,5072
1773534664,21,20,21,225,22,932,23,1160,24,6477,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9498,5072
1773534665,21,20,21,225,22,932,23,854,24,6477,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9192,5072
1773534666,21,20,21,225,22,932,23,854,24,6477,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9192,5072
1773534667,21,20,21,225,22,932,23,854,24,6477,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9192,5072
1773534668,21,20,21,225,22,932,23,854,24,6477,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9192,5072
1773534669,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534670,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534671,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534672,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534673,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534674,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534675,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534676,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534677,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534678,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534679,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534680,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534681,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534682,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534683,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534684,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534685,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534686,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534687,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534688,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534689,21,20,21,225,22,932,23,1145,24,6205,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9211,5072
1773534690,21,20,21,225,22,932,23,1145,24,6513,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9519,5072
1773534691,21,20,21,225,22,932,23,1145,24,6325,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9331,5072
1773534692,21,20,21,225,22,932,23,1145,24,6677,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9683,5072
1773534693,21,20,21,225,22,932,23,1145,24,6677,25,0,26,0,27,0,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9483,5072
1773534694,21,20,21,225,22,932,23,1145,24,6127,25,0,26,0,27,0,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,8933,5072
1773534695,21,20,21,225,22,932,23,1145,24,6350,25,0,26,0,27,0,28,700,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9356,5072
1773534696,21,20,21,225,22,932,23,1145,24,6350,25,0,26,0,27,0,28,700,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9356,5072
1773534697,21,20,21,225,22,932,23,1145,24,6350,25,0,26,0,27,0,28,700,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9356,5072
1773534698,21,20,21,225,22,932,23,1145,24,6350,25,0,26,0,27,0,28,700,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9356,5072
1773534699,21,20,21,225,22,932,23,1145,24,6350,25,0,26,0,27,0,28,700,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9356,5072
1773534700,21,20,21,225,22,932,23,1145,24,6350,25,0,26,0,27,0,28,700,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9356,5072
1773534701,21,20,21,225,22,932,23,1145,24,6350,25,0,26,0,27,0,28,700,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9356,5072
1773534702,21,20,21,225,22,932,23,1145,24,6350,25,0,26,0,27,0,28,700,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9356,5072
1773534703,21,20,21,225,22,932,23,1145,24,6933,25,0,26,0,27,0,28,700,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9939,5072
1773534704,21,20,21,225,22,932,23,1145,24,6933,25,0,26,0,27,0,28,700,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9939,5072
1773534705,21,20,21,225,22,932,23,1145,24,6933,25,0,26,0,27,0,28,700,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9939,5072
1773534706,21,20,21,225,22,932,23,1145,24,6933,25,0,26,0,27,0,28,700,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9939,5072
1773534707,21,20,21,225,22,932,23,1145,24,6933,25,0,26,0,27,0,28,700,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9939,5072
1773534708,21,20,21,225,22,932,23,1145,24,6933,25,0,26,0,27,0,28,700,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9939,5072
1773534709,21,20,21,225,22,932,23,1145,24,6933,25,0,26,0,27,0,28,700,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9939,5072
1773534710,21,20,21,113,22,932,23,1145,24,6933,25,0,26,0,27,0,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9627,5072
1773534711,21,20,21,113,22,932,23,1145,24,6933,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9827,5072
1773534712,21,20,21,113,22,932,23,1145,24,6933,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9827,5072
1773534713,21,20,21,113,22,932,23,1145,24,6933,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9827,5072
1773534714,21,20,21,113,22,932,23,1145,24,6933,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,9827,5072
1773534715,21,20,21,113,22,932,23,1145,24,7261,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,10155,5072
1773534716,21,20,21,113,22,932,23,1145,24,7261,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,10155,5072
1773534717,21,20,21,113,22,932,23,1145,24,7261,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,10155,5072
1773534718,21,20,21,113,22,932,23,1145,24,7261,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,10155,5072
1773534719,21,20,21,113,22,932,23,1145,24,7261,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,10155,5072
1773534720,21,20,21,113,22,932,23,1145,24,7261,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,10155,5072
1773534721,21,20,21,113,22,932,23,1145,24,7261,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,10155,5072
1773534722,21,20,21,113,22,932,23,1145,24,7947,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,10841,5072
1773534723,21,20,21,113,22,932,23,1145,24,7947,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,10841,5072
1773534724,21,20,21,113,22,932,23,1145,24,7947,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,10841,5072
1773534725,21,20,21,113,22,932,23,1145,24,7947,25,0,26,0,27,200,28,500,29,4,30,0,31,0,20,1000,19,3236,18,606,17,200,16,0,15,30,14,0,13,0,12,0,11,0,10,0,10841,5072
